,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-09-08,418.724,429.168,413.2145,418.197,80.3512,2534909.0,0.0,1.0
2008-09-05,399.5605,407.226,399.5605,402.387,77.3135,1938407.0,0.0,1.0
2008-09-04,413.071,413.933,400.5185,410.867,78.9428,1236904.0,0.0,1.0
2008-09-02,421.5505,423.467,407.274,411.873,79.1361,1946600.0,0.0,1.0
2008-09-01,431.1805,431.1805,398.6025,419.4905,80.5996,537723.0,0.0,1.0
2008-08-29,402.339,425.527,400.375,421.934,81.0693,4896781.0,0.0,1.0
2008-08-28,409.142,410.6755,391.799,400.1835,76.8902,1196009.0,0.0,1.0
2008-08-27,416.52,420.401,402.435,405.118,77.8382,701033.0,0.0,1.0
2008-08-26,407.226,416.233,407.178,415.2265,79.7805,3098170.0,0.0,1.0
2008-08-25,404.3515,425.1915,404.3515,416.137,79.9555,983888.0,0.0,1.0
2008-08-22,392.853,410.1005,392.853,407.801,78.3538,601532.0,0.0,1.0
2008-08-21,411.0585,425.4315,395.8715,400.4705,76.9454,1389965.0,0.0,1.0
2008-08-20,403.393,412.496,400.0395,406.3155,78.0683,229425.0,0.0,1.0
2008-08-19,401.477,408.28,400.5185,405.645,77.9396,263140.0,0.0,1.0
2008-08-18,412.017,412.017,403.489,407.5135,78.2985,386489.0,0.0,1.0
2008-08-14,415.2745,418.149,407.3215,414.1725,79.5779,763793.0,0.0,1.0
2008-08-13,412.017,423.467,408.9505,415.2745,79.7896,429685.0,0.0,1.0
2008-08-12,431.1325,432.0905,414.939,417.8135,80.2776,611817.0,0.0,1.0
2008-08-11,431.1805,440.762,425.4315,428.4975,82.3304,825514.0,0.0,1.0
2008-08-08,417.766,431.1805,409.142,424.9045,81.6399,1372912.0,0.0,1.0
2008-08-07,410.1005,429.0725,407.705,425.623,81.778,1486816.0,0.0,1.0
2008-08-06,400.5185,415.035,397.692,408.855,78.5564,1193191.0,0.0,1.0
2008-08-05,382.7445,396.063,378.4805,391.943,75.3068,1013005.0,0.0,1.0
2008-08-04,382.313,389.787,375.7975,379.678,72.9502,828269.0,0.0,1.0
2008-08-01,378.4805,385.188,374.648,381.93,73.3829,1119635.0,0.0,1.0
2008-07-31,383.2715,403.393,373.7855,386.3855,74.239,2433038.0,0.0,1.0
2008-07-30,389.9785,409.142,383.415,398.8895,76.6415,1288596.0,0.0,1.0
2008-07-29,402.435,402.435,374.7915,380.205,73.0517,748368.0,0.0,1.0
2008-07-28,402.435,413.55,402.435,408.136,78.4182,206350.0,0.0,1.0
2008-07-25,417.766,419.682,402.435,408.807,78.5471,395250.0,0.0,1.0
2008-07-24,428.21,435.013,414.987,421.2155,80.9313,547528.0,0.0,1.0
2008-07-23,407.226,428.306,406.2675,419.251,80.5538,787614.0,0.0,1.0
2008-07-22,404.3515,410.1005,386.146,394.6735,75.8315,842901.0,0.0,1.0
2008-07-21,410.1005,416.8075,398.5065,402.483,77.332,327914.0,0.0,1.0
2008-07-18,401.477,405.8845,395.2965,402.6265,77.3596,459862.0,0.0,1.0
2008-07-17,389.9785,405.7405,385.2355,394.3385,75.767,922312.0,0.0,1.0
2008-07-16,388.35,389.9785,368.4675,378.864,72.7938,839436.0,0.0,1.0
2008-07-15,388.0625,392.5655,375.51,387.104,74.3772,505376.0,0.0,1.0
2008-07-14,383.2715,398.123,381.355,392.326,75.3805,777381.0,0.0,1.0
2008-07-11,385.188,390.745,373.6895,382.936,73.5764,715811.0,0.0,1.0
2008-07-10,380.924,397.644,379.4385,382.7925,73.5487,979687.0,0.0,1.0
2008-07-09,369.1385,391.895,368.8985,387.631,74.4784,1431617.0,0.0,1.0
2008-07-08,371.7735,375.606,358.359,360.6105,69.2867,955041.0,0.0,1.0
2008-07-07,386.194,390.937,372.7315,376.133,72.2691,914240.0,0.0,1.0
2008-07-04,378.4805,388.0625,370.384,384.086,73.7972,302924.0,0.0,1.0
2008-07-03,384.3255,391.895,366.9825,374.121,71.8825,459158.0,0.0,1.0
2008-07-02,388.0625,399.9915,367.4615,396.111,76.1076,888916.0,0.0,1.0
2008-07-01,402.435,411.0105,388.11,391.368,75.1964,542623.0,0.0,1.0
2008-06-30,431.1805,431.1805,398.6025,408.663,78.5194,975403.0,0.0,1.0
2008-06-27,455.135,455.135,426.4375,430.318,82.6802,752595.0,0.0,1.0
2008-06-26,459.4465,474.6335,444.2115,468.9805,90.1086,1028044.0,0.0,1.0
2008-06-25,455.135,458.9675,441.0975,454.7035,87.3655,806598.0,0.0,1.0
2008-06-24,470.0825,474.2505,455.135,461.6505,88.7002,229738.0,0.0,1.0
2008-06-23,463.7105,472.909,458.201,467.9745,89.9153,437831.0,0.0,1.0
2008-06-20,483.88,487.713,462.8,468.4055,89.9981,425323.0,0.0,1.0
2008-06-19,496.3365,496.3365,480.239,482.0115,92.6125,338309.0,0.0,1.0
2008-06-18,498.4445,515.2125,493.462,495.618,95.2267,675516.0,0.0,1.0
2008-06-17,493.031,502.0855,492.5515,497.726,95.6317,289925.0,0.0,1.0
2008-06-16,491.5455,500.792,484.8385,495.139,95.1345,600290.0,1.5,1.0
2008-06-13,490.5875,499.8815,483.88,494.612,93.5938,1183188.0,0.0,1.0
2008-06-12,469.5075,491.45,464.7165,486.132,91.9892,861640.0,0.0,1.0
2008-06-11,493.462,507.4995,479.0895,484.455,91.6719,780262.0,0.0,1.0
2008-06-10,495.3785,506.8765,483.976,491.45,92.9956,479759.0,0.0,1.0
2008-06-09,489.629,507.8345,483.976,495.474,93.7571,777606.0,0.0,1.0
2008-06-06,517.3685,522.2075,507.3555,517.4645,97.9182,1117344.0,0.0,1.0
2008-06-05,517.4645,521.441,500.9355,510.326,96.5674,1270551.0,0.0,1.0
2008-06-04,548.078,549.0365,515.452,519.812,98.3624,1410661.0,0.0,1.0
2008-06-03,541.371,552.7255,531.837,546.449,103.4029,982066.0,0.0,1.0
2008-06-02,557.66,567.2415,532.316,539.4065,102.0702,907122.0,0.0,1.0
2008-05-30,565.3255,568.2,550.282,552.773,104.5996,1050462.0,0.0,1.0
2008-05-29,610.839,613.2345,555.7435,558.187,105.624,3498174.0,0.0,1.0
2008-05-28,608.4435,617.067,586.4055,608.204,115.0886,1010610.0,0.0,1.0
2008-05-27,603.6525,608.4435,589.8545,600.3945,113.6108,548609.0,0.0,1.0
2008-05-26,610.3595,610.3595,595.1245,598.095,113.1757,829689.0,0.0,1.0
2008-05-23,636.2305,639.057,605.569,611.174,115.6506,686307.0,0.0,1.0
2008-05-22,670.4375,734.923,628.565,633.787,119.9297,731539.0,0.0,1.0
2008-05-21,649.645,665.934,637.1885,660.0415,124.8975,586154.0,0.0,1.0
2008-05-20,628.565,653.286,628.565,649.9805,122.9938,602007.0,0.0,1.0
